20859,1.04,1023,1022,1009,998,984
20895,1.04,1023,1023,1011,998,981
20930,1.04,1023,1023,1012,997,980
20966,1.04,1022,1023,1012,995,980
21001,1.04,1023,1023,1013,995,983
21037,1.04,1023,1022,1010,994,985
21072,1.04,1023,1022,1009,995,985
21107,1.04,1023,1023,1009,997,986
21143,1.04,1023,1023,1009,999,984
21178,1.04,1023,1023,1011,999,982
21214,1.04,1023,1023,1011,997,980
21249,1.04,1023,1022,1010,994,979
21284,1.04,1023,1023,1010,992,980
21319,1.04,1023,1023,1010,993,983
21355,1.04,1023,1023,1010,995,985
21390,1.04,1023,1023,1010,998,986
21426,1.04,1023,1023,1008,998,985
21460,1.04,1023,1023,1010,998,982
21496,1.04,1023,1023,1007,994,978
21531,1.04,0,1022,1009,998,979
21564,0.83,0,1022,1009,1000,981
21597,1.02,0,1022,1008,1000,982
21630,1.03,0,1023,1010,1001,983
21663,1.03,0,1020,1009,1001,983
21697,1.04,1023,1021,1014,1000,984
21733,1.03,1023,1022,1012,996,982
21769,1.04,1023,1023,1012,995,984
21805,1.04,1023,1023,1011,995,986
21839,1.04,1023,1023,1009,996,986
21875,1.04,1023,1023,1009,998,987
21910,1.04,1023,1021,1009,998,984
21946,1.04,1023,1023,1010,998,982
21981,1.04,1023,1023,1011,997,980
22017,1.04,1022,1023,1012,995,980
22051,1.04,1023,1023,1011,993,981
22087,1.04,1023,1022,1010,993,983
22122,1.04,1023,1022,1010,995,985
22158,1.04,1023,1023,1008,997,986
22193,1.04,1022,1022,1009,998,985
22228,1.04,1023,1023,1009,997,982
22263,1.04,1023,1022,1010,997,980
22299,1.04,1023,1023,1011,994,979
22334,1.04,1023,1023,1012,994,980
22370,1.04,1023,1023,1011,993,983
22406,1.04,1023,1023,1010,994,984
22440,1.04,1023,1023,1010,997,986
22476,1.04,1023,1022,1008,998,986
22511,1.04,1023,1022,1007,997,983
22547,1.04,1023,1023,1009,997,979
22582,1.04,0,1022,1007,997,980
22615,0.85,0,1021,1007,999,984
22646,1.02,0,1023,1007,999,988
22679,1.02,0,1023,1008,999,991
22711,1.03,0,1023,1007,997,992
22744,1.03,1023,1023,1011,1000,987
22779,1.03,1023,1022,1010,999,983
22815,1.04,1023,1022,1010,997,980
22850,1.04,1023,1023,1010,994,979
22886,1.04,1023,1023,1012,993,980
22921,1.04,1023,1023,1011,994,984
22957,1.04,1023,1023,1008,995,985
22991,1.04,1023,1023,1009,997,986
23027,1.04,1023,1023,1007,997,984
23062,1.04,1023,1023,1010,998,982
23098,1.04,1023,1023,1011,998,980
23133,1.04,1023,1023,1010,995,979
23169,1.04,1023,1022,1011,993,979
23204,1.04,1023,1023,1010,992,982
23239,1.04,1023,1023,1009,994,984
23275,1.04,1023,1023,1009,996,985
23310,1.04,1023,1023,1009,998,986
23346,1.04,1023,1023,1011,999,984
23380,1.04,1023,1023,1010,998,981
23416,1.04,1023,1023,1011,996,980
23451,1.04,1023,1023,1012,994,979
23487,1.04,1023,1023,1012,993,982
23522,1.04,1023,1023,1011,994,984
23558,1.04,1023,1023,1008,995,986
23592,1.04,1023,1022,1008,997,985
23628,1.04,1023,1023,1008,995,982
23663,1.04,0,1023,1006,997,987
23696,1.04,0,1023,1007,997,990
23728,0.87,0,1023,1008,996,991
23760,1.01,0,1023,1008,994,990
23792,1.02,0,1023,1008,992,987
23825,1.03,0,1021,1010,991,984
23857,1.04,1023,1023,1014,997,987
23892,1.03,1023,1023,1011,999,987
23927,1.04,1022,1023,1010,999,987
23963,1.04,1022,1023,1009,998,983
23998,1.04,1023,1022,1011,998,981
24034,1.04,1023,1022,1010,995,979
24070,1.04,1023,1023,1011,993,979
24104,1.04,1023,1023,1011,993,982
24140,1.04,1023,1023,1011,994,984
24175,1.04,1023,1023,1010,997,986
24211,1.04,1023,1023,1009,998,986
24246,1.04,1023,1022,1009,998,984
